ID,Timestamp,Event Type,Details
145,2026-07-26 15:40:20,ATTACK_SIM,Stale Packet sent
144,2026-07-26 15:40:12,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
143,2026-07-26 15:40:01,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
142,2026-07-26 15:39:50,RECOVERY_STEP,"4. UFW reloaded, services reopened"
141,2026-07-26 15:39:46,RECOVERY_STEP,3. Sent RESTORE_UPLINK command
140,2026-07-26 15:39:41,RECOVERY_STEP,2. Blocked 1.2.3.4 permanently via UFW
139,2026-07-26 15:39:25,RECOVERY_STEP,1. Out-of-band access confirmed (Management VLAN)
138,2026-07-26 15:39:17,UFW_BLOCK,deny from 1.2.3.4 - success
137,2026-07-26 15:38:40,ACK_RECEIVED,OK - uplink cut
136,2026-07-26 15:38:39,DEVICE_STATUS,LOCKDOWN (verified)
135,2026-07-26 15:38:39,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
134,2026-07-26 15:38:32,DEVICE_STATUS,ONLINE (Boot completed)
133,2026-07-26 15:35:49,ACK_RECEIVED,OK - uplink restored
132,2026-07-26 15:35:48,DEVICE_STATUS,NORMAL (verified)
131,2026-07-26 15:35:48,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
130,2026-07-26 15:35:21,ACK_RECEIVED,OK - uplink cut
129,2026-07-26 15:35:20,DEVICE_STATUS,LOCKDOWN (verified)
128,2026-07-26 15:35:20,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
127,2026-07-26 15:35:15,SECURITY_ALERT,Unauthorized button click attempt (Wrong PIN)
126,2026-07-26 15:35:02,SYSTEM,MQTT Connected successfully
125,2026-07-24 15:39:57,ACK_RECEIVED,OK - uplink restored
124,2026-07-24 15:39:56,DEVICE_STATUS,NORMAL (verified)
123,2026-07-24 15:39:56,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
122,2026-07-24 15:39:51,SECURITY_ALERT,Unauthorized button click attempt (Wrong PIN)
121,2026-07-24 15:39:39,RECOVERY_STEP,"4. UFW reloaded, services reopened"
120,2026-07-24 15:39:34,RECOVERY_STEP,2. Blocked 1.2.3.4 permanently via UFW
119,2026-07-24 15:39:15,ACK_RECEIVED,OK - uplink restored
118,2026-07-24 15:39:14,DEVICE_STATUS,NORMAL (verified)
117,2026-07-24 15:39:14,RECOVERY_STEP,3. Sent RESTORE_UPLINK command
116,2026-07-24 15:38:55,RECOVERY_STEP,1. Out-of-band access confirmed (Management VLAN)
115,2026-07-24 15:38:22,UFW_BLOCK,deny from 1.2.3.4 - success
114,2026-07-24 15:38:13,ACK_RECEIVED,OK - uplink cut
113,2026-07-24 15:38:12,DEVICE_STATUS,LOCKDOWN (verified)
112,2026-07-24 15:38:12,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
111,2026-07-24 15:35:23,SYSTEM,MQTT Connected successfully
110,2026-07-24 15:34:13,RECOVERY_STEP,ทดสอบ: 1. Out-of-band access confirmed (Management VLAN) [manual test]
109,2026-07-24 15:29:17,RECOVERY_STEP,"4. UFW reloaded, services reopened"
108,2026-07-24 15:29:11,ACK_RECEIVED,OK - uplink restored
107,2026-07-24 15:29:09,DEVICE_STATUS,NORMAL (verified)
106,2026-07-24 15:29:09,RECOVERY_STEP,3. Sent RESTORE_UPLINK command
105,2026-07-24 15:28:44,RECOVERY_STEP,1. Out-of-band access confirmed (Management VLAN)
104,2026-07-24 15:27:47,UFW_BLOCK,deny from 1.2.3.4 - success
103,2026-07-24 15:27:26,ACK_RECEIVED,OK - uplink cut
102,2026-07-24 15:27:25,DEVICE_STATUS,LOCKDOWN (verified)
101,2026-07-24 15:27:25,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
100,2026-07-24 15:26:48,ACK_RECEIVED,OK - uplink restored
99,2026-07-24 15:26:47,DEVICE_STATUS,NORMAL (verified)
98,2026-07-24 15:26:47,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
97,2026-07-24 15:26:30,ACK_RECEIVED,OK - uplink cut
96,2026-07-24 15:26:30,DEVICE_STATUS,LOCKDOWN (verified)
95,2026-07-24 15:26:29,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
94,2026-07-24 15:25:02,SYSTEM,MQTT Connected successfully
93,2026-07-23 18:06:15,ACK_RECEIVED,OK - uplink cut
92,2026-07-23 18:06:14,DEVICE_STATUS,LOCKDOWN (verified)
91,2026-07-23 18:06:14,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
90,2026-07-23 18:05:59,ACK_RECEIVED,OK - uplink restored
89,2026-07-23 18:05:58,DEVICE_STATUS,NORMAL (verified)
88,2026-07-23 18:05:58,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
87,2026-07-23 18:05:28,SYSTEM,MQTT Connected successfully
86,2026-07-23 18:03:28,SYSTEM,MQTT Connected successfully
